Instrument,ISIN,ISIX,WKN,Mnemonic,MIC Code,URL,,,,,,,,,,,,,,,,,,,,,,,Start Intraday Auction 10,Start Closing Auction
"ZURICH INSUR.GR.NA.SF0,10",CH0011075394,6116,579919,ZFIN,XETR,http://www.finanzen.at/aktien/Zurich_Insurance_Group_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"NOVARTIS NAM.     SF 0,50",CH0012005267,7627,904278,NOT,XETR,http://www.finanzen.at/aktien/Novartis-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ROCHE HLDG AG GEN.,CH0012032048,10009,855167,RHO5,XETR,http://www.finanzen.at/aktien/Roche-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ROCHE HLDG AG INH. SF 1,CH0012032113,7626,851311,RHO,XETR,http://www.finanzen.at/aktien/Roche_2-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"CRED.SUISSE GRP NA SF-,04",CH0012138530,6206,876800,CSX,XETR,http://www.finanzen.at/aktien/Credit_Suisse-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
ADECCO GROUP AG NAM. SF 1,CH0012138605,12865,922031,ADI1,XETR,http://www.finanzen.at/aktien/Adecco-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"CLARIANT NA   SF 3,70",CH0012142631,13737,895929,CLRN,XETR,http://www.finanzen.at/aktien/Clariant-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LAFARGEHOLCIM LTD.NAM.SF2,CH0012214059,3073,869898,HLBN,XETR,http://www.finanzen.at/aktien/LafargeHolcim-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"ABB LTD. NA     SF 0,12",CH0012221716,7581,919730,ABJ,XETR,http://www.finanzen.at/aktien/ABB-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SWATCH GRP AG NAM.SF 0,45",CH0012255144,14317,871110,UHRN,XETR,http://www.finanzen.at/aktien/Swatch_1-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SWATCH GRP AG INH.SF 2,25",CH0012255151,4651,865126,UHR,XETR,http://www.finanzen.at/aktien/Swatch-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"BALOISE HLDG NA   SF 0,10",CH0012410517,5047,853020,BLON,XETR,http://www.finanzen.at/aktien/B%c3%a2loise-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SONOVA HLDG AG NA.SF 0,05",CH0012549785,4700,893484,PHBN,XETR,http://www.finanzen.at/aktien/Sonova-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
LONZA GROUP AG NA    SF 1,CH0013841017,3418,928619,LO3,XETR,http://www.finanzen.at/aktien/Lonza_Group-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"SWISS LIFE HLDG SF 5,10",CH0014852781,7786,778237,SLW,XETR,http://www.finanzen.at/aktien/Swiss_Life-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
"GALENICA AG  NAM. SF 0,10",CH0015536466,10141,252066,G2A,XETR,http://www.finanzen.at/aktien/Galenica-Aktie,,,,,,,,,,,,,,,,,,,,,,,,17:30
